Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía		Pernoctaciones	Total	Residentes en el Extranjero	2025M02	1.620.222
Total Nacional	01 Andalucía		Pernoctaciones	Total	Residentes en el Extranjero	2025M01	1.295.152
Total Nacional	01 Andalucía	04 Almería	Viajero	Total		2025M07	238.971
Total Nacional	01 Andalucía	04 Almería	Viajero	Total		2025M06	211.544
Total Nacional	01 Andalucía	04 Almería	Viajero	Total		2025M05	147.501
Total Nacional	01 Andalucía	04 Almería	Viajero	Total		2025M04	112.552
Total Nacional	01 Andalucía	04 Almería	Viajero	Total		2025M03	69.431
Total Nacional	01 Andalucía	04 Almería	Viajero	Total		2025M02	64.254
Total Nacional	01 Andalucía	04 Almería	Viajero	Total		2025M01	36.982
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en España	2025M07	194.704
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en España	2025M06	175.501
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en España	2025M05	115.078
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en España	2025M04	85.455
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en España	2025M03	52.946
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en España	2025M02	51.449
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en España	2025M01	26.192
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2025M07	44.268
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2025M06	36.043
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2025M05	32.422
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2025M04	27.097
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2025M03	16.484
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2025M02	12.805
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2025M01	10.790
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total		2025M07	934.056
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total		2025M06	696.228
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total		2025M05	477.718
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total		2025M04	382.981
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total		2025M03	245.142
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total		2025M02	187.060
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total		2025M01	90.920
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total	Residentes en España	2025M07	741.323
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total	Residentes en España	2025M06	521.661
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total	Residentes en España	2025M05	351.956
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total	Residentes en España	2025M04	273.876
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total	Residentes en España	2025M03	183.413
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total	Residentes en España	2025M02	143.553
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total	Residentes en España	2025M01	57.420
