Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	04 Balears, Illes		Viajero	Total	Residentes en el Extranjero	2025M07	1.843.238
Total Nacional	04 Balears, Illes		Viajero	Total	Residentes en el Extranjero	2025M06	1.698.936
Total Nacional	04 Balears, Illes		Viajero	Total	Residentes en el Extranjero	2025M05	1.513.184
Total Nacional	04 Balears, Illes		Viajero	Total	Residentes en el Extranjero	2025M04	705.586
Total Nacional	04 Balears, Illes		Viajero	Total	Residentes en el Extranjero	2025M03	226.959
Total Nacional	04 Balears, Illes		Viajero	Total	Residentes en el Extranjero	2025M02	111.658
Total Nacional	04 Balears, Illes		Viajero	Total	Residentes en el Extranjero	2025M01	39.462
Total Nacional	04 Balears, Illes		Pernoctaciones	Total		2025M07	10.987.630
Total Nacional	04 Balears, Illes		Pernoctaciones	Total		2025M06	9.726.358
Total Nacional	04 Balears, Illes		Pernoctaciones	Total		2025M05	8.134.372
Total Nacional	04 Balears, Illes		Pernoctaciones	Total		2025M04	3.736.772
Total Nacional	04 Balears, Illes		Pernoctaciones	Total		2025M03	1.429.104
Total Nacional	04 Balears, Illes		Pernoctaciones	Total		2025M02	622.366
Total Nacional	04 Balears, Illes		Pernoctaciones	Total		2025M01	237.851
Total Nacional	04 Balears, Illes		Pernoctaciones	Total	Residentes en España	2025M07	740.149
Total Nacional	04 Balears, Illes		Pernoctaciones	Total	Residentes en España	2025M06	689.765
Total Nacional	04 Balears, Illes		Pernoctaciones	Total	Residentes en España	2025M05	640.277
Total Nacional	04 Balears, Illes		Pernoctaciones	Total	Residentes en España	2025M04	411.608
Total Nacional	04 Balears, Illes		Pernoctaciones	Total	Residentes en España	2025M03	388.334
Total Nacional	04 Balears, Illes		Pernoctaciones	Total	Residentes en España	2025M02	152.788
Total Nacional	04 Balears, Illes		Pernoctaciones	Total	Residentes en España	2025M01	70.299
Total Nacional	04 Balears, Illes		Pernoctaciones	Total	Residentes en el Extranjero	2025M07	10.247.481
Total Nacional	04 Balears, Illes		Pernoctaciones	Total	Residentes en el Extranjero	2025M06	9.036.593
Total Nacional	04 Balears, Illes		Pernoctaciones	Total	Residentes en el Extranjero	2025M05	7.494.096
Total Nacional	04 Balears, Illes		Pernoctaciones	Total	Residentes en el Extranjero	2025M04	3.325.164
Total Nacional	04 Balears, Illes		Pernoctaciones	Total	Residentes en el Extranjero	2025M03	1.040.770
Total Nacional	04 Balears, Illes		Pernoctaciones	Total	Residentes en el Extranjero	2025M02	469.578
Total Nacional	04 Balears, Illes		Pernoctaciones	Total	Residentes en el Extranjero	2025M01	167.552
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total		2025M07	2.036.446
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total		2025M06	1.887.685
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total		2025M05	1.705.037
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total		2025M04	803.616
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total		2025M03	333.877
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total		2025M02	167.349
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total		2025M01	67.535
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en España	2025M07	193.208
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en España	2025M06	188.749
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en España	2025M05	191.853
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en España	2025M04	98.030
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en España	2025M03	106.917
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en España	2025M02	55.690
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en España	2025M01	28.073
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2025M07	1.843.238
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2025M06	1.698.936
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2025M05	1.513.184
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2025M04	705.586
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2025M03	226.959
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2025M02	111.658
Total Nacional	04 Balears, Illes	07 Balears, Illes	Viajero	Total	Residentes en el Extranjero	2025M01	39.462
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total		2025M07	10.987.630
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total		2025M06	9.726.358
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total		2025M05	8.134.372
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total		2025M04	3.736.772
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total		2025M03	1.429.104
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total		2025M02	622.366
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total		2025M01	237.851
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total	Residentes en España	2025M07	740.149
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total	Residentes en España	2025M06	689.765
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total	Residentes en España	2025M05	640.277
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total	Residentes en España	2025M04	411.608
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total	Residentes en España	2025M03	388.334
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total	Residentes en España	2025M02	152.788
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total	Residentes en España	2025M01	70.299
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	10.247.481
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	9.036.593
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	7.494.096
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	3.325.164
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	1.040.770
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	469.578
Total Nacional	04 Balears, Illes	07 Balears, Illes	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	167.552
Total Nacional	05 Canarias		Viajero	Total		2025M07	999.568
Total Nacional	05 Canarias		Viajero	Total		2025M06	906.249
Total Nacional	05 Canarias		Viajero	Total		2025M05	889.987
Total Nacional	05 Canarias		Viajero	Total		2025M04	935.169
Total Nacional	05 Canarias		Viajero	Total		2025M03	962.639
Total Nacional	05 Canarias		Viajero	Total		2025M02	924.210
Total Nacional	05 Canarias		Viajero	Total		2025M01	905.844
Total Nacional	05 Canarias		Viajero	Total	Residentes en España	2025M07	283.655
Total Nacional	05 Canarias		Viajero	Total	Residentes en España	2025M06	245.869
Total Nacional	05 Canarias		Viajero	Total	Residentes en España	2025M05	237.336
Total Nacional	05 Canarias		Viajero	Total	Residentes en España	2025M04	192.143
Total Nacional	05 Canarias		Viajero	Total	Residentes en España	2025M03	151.415
Total Nacional	05 Canarias		Viajero	Total	Residentes en España	2025M02	133.184
Total Nacional	05 Canarias		Viajero	Total	Residentes en España	2025M01	130.640
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2025M07	715.913
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2025M06	660.380
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2025M05	652.651
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2025M04	743.026
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2025M03	811.224
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2025M02	791.026
Total Nacional	05 Canarias		Viajero	Total	Residentes en el Extranjero	2025M01	775.205
Total Nacional	05 Canarias		Pernoctaciones	Total		2025M07	6.552.626
Total Nacional	05 Canarias		Pernoctaciones	Total		2025M06	5.673.334
Total Nacional	05 Canarias		Pernoctaciones	Total		2025M05	5.344.403
Total Nacional	05 Canarias		Pernoctaciones	Total		2025M04	5.727.115
Total Nacional	05 Canarias		Pernoctaciones	Total		2025M03	6.139.394
Total Nacional	05 Canarias		Pernoctaciones	Total		2025M02	5.974.812
Total Nacional	05 Canarias		Pernoctaciones	Total		2025M01	6.264.611
Total Nacional	05 Canarias		Pernoctaciones	Total	Residentes en España	2025M07	1.172.408
Total Nacional	05 Canarias		Pernoctaciones	Total	Residentes en España	2025M06	894.049
Total Nacional	05 Canarias		Pernoctaciones	Total	Residentes en España	2025M05	843.547
Total Nacional	05 Canarias		Pernoctaciones	Total	Residentes en España	2025M04	674.512
Total Nacional	05 Canarias		Pernoctaciones	Total	Residentes en España	2025M03	538.392
Total Nacional	05 Canarias		Pernoctaciones	Total	Residentes en España	2025M02	436.046
Total Nacional	05 Canarias		Pernoctaciones	Total	Residentes en España	2025M01	501.264
Total Nacional	05 Canarias		Pernoctaciones	Total	Residentes en el Extranjero	2025M07	5.380.218
Total Nacional	05 Canarias		Pernoctaciones	Total	Residentes en el Extranjero	2025M06	4.779.285
Total Nacional	05 Canarias		Pernoctaciones	Total	Residentes en el Extranjero	2025M05	4.500.856
Total Nacional	05 Canarias		Pernoctaciones	Total	Residentes en el Extranjero	2025M04	5.052.603
Total Nacional	05 Canarias		Pernoctaciones	Total	Residentes en el Extranjero	2025M03	5.601.003
Total Nacional	05 Canarias		Pernoctaciones	Total	Residentes en el Extranjero	2025M02	5.538.766
Total Nacional	05 Canarias		Pernoctaciones	Total	Residentes en el Extranjero	2025M01	5.763.346
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total		2025M07	587.211
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total		2025M06	527.790
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total		2025M05	510.814
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total		2025M04	551.052
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total		2025M03	575.087
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total		2025M02	542.537
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total		2025M01	529.292
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en España	2025M07	151.286
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en España	2025M06	132.983
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en España	2025M05	126.243
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en España	2025M04	99.984
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en España	2025M03	80.506
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en España	2025M02	67.328
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en España	2025M01	68.364
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2025M07	435.925
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2025M06	394.807
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2025M05	384.571
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2025M04	451.068
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2025M03	494.581
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2025M02	475.209
Total Nacional	05 Canarias	35 Palmas, Las	Viajero	Total	Residentes en el Extranjero	2025M01	460.928
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total		2025M07	4.075.039
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total		2025M06	3.500.630
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total		2025M05	3.282.338
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total		2025M04	3.558.506
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total		2025M03	3.835.917
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total		2025M02	3.670.235
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total		2025M01	3.840.370
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total	Residentes en España	2025M07	662.424
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total	Residentes en España	2025M06	504.869
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total	Residentes en España	2025M05	469.964
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total	Residentes en España	2025M04	353.167
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total	Residentes en España	2025M03	290.288
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total	Residentes en España	2025M02	223.698
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total	Residentes en España	2025M01	259.571
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	3.412.615
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	2.995.761
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	2.812.373
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	3.205.338
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	3.545.628
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	3.446.537
Total Nacional	05 Canarias	35 Palmas, Las	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	3.580.798
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total		2025M07	412.358
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total		2025M06	378.459
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total		2025M05	379.173
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total		2025M04	384.117
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total		2025M03	387.552
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total		2025M02	381.673
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total		2025M01	376.552
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total	Residentes en España	2025M07	132.370
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total	Residentes en España	2025M06	112.886
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total	Residentes en España	2025M05	111.093
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total	Residentes en España	2025M04	92.159
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total	Residentes en España	2025M03	70.909
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total	Residentes en España	2025M02	65.856
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total	Residentes en España	2025M01	62.275
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total	Residentes en el Extranjero	2025M07	279.988
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total	Residentes en el Extranjero	2025M06	265.574
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total	Residentes en el Extranjero	2025M05	268.080
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total	Residentes en el Extranjero	2025M04	291.958
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total	Residentes en el Extranjero	2025M03	316.643
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total	Residentes en el Extranjero	2025M02	315.817
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Viajero	Total	Residentes en el Extranjero	2025M01	314.277
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total		2025M07	2.477.587
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total		2025M06	2.172.704
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total		2025M05	2.062.066
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total		2025M04	2.168.609
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total		2025M03	2.303.478
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total		2025M02	2.304.576
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total		2025M01	2.424.241
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total	Residentes en España	2025M07	509.984
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total	Residentes en España	2025M06	389.180
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total	Residentes en España	2025M05	373.583
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total	Residentes en España	2025M04	321.344
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total	Residentes en España	2025M03	248.103
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total	Residentes en España	2025M02	212.348
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total	Residentes en España	2025M01	241.693
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	1.967.603
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	1.783.524
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	1.688.483
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	1.847.265
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	2.055.375
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	2.092.228
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	2.182.548
Total Nacional	06 Cantabria		Viajero	Total		2025M07	194.903
Total Nacional	06 Cantabria		Viajero	Total		2025M06	153.262
Total Nacional	06 Cantabria		Viajero	Total		2025M05	138.283
Total Nacional	06 Cantabria		Viajero	Total		2025M04	114.466
Total Nacional	06 Cantabria		Viajero	Total		2025M03	70.391
Total Nacional	06 Cantabria		Viajero	Total		2025M02	53.062
Total Nacional	06 Cantabria		Viajero	Total		2025M01	45.273
Total Nacional	06 Cantabria		Viajero	Total	Residentes en España	2025M07	151.189
Total Nacional	06 Cantabria		Viajero	Total	Residentes en España	2025M06	110.391
Total Nacional	06 Cantabria		Viajero	Total	Residentes en España	2025M05	88.829
Total Nacional	06 Cantabria		Viajero	Total	Residentes en España	2025M04	85.583
Total Nacional	06 Cantabria		Viajero	Total	Residentes en España	2025M03	58.835
Total Nacional	06 Cantabria		Viajero	Total	Residentes en España	2025M02	45.669
Total Nacional	06 Cantabria		Viajero	Total	Residentes en España	2025M01	38.018
Total Nacional	06 Cantabria		Viajero	Total	Residentes en el Extranjero	2025M07	43.714
Total Nacional	06 Cantabria		Viajero	Total	Residentes en el Extranjero	2025M06	42.871
Total Nacional	06 Cantabria		Viajero	Total	Residentes en el Extranjero	2025M05	49.454
Total Nacional	06 Cantabria		Viajero	Total	Residentes en el Extranjero	2025M04	28.883
Total Nacional	06 Cantabria		Viajero	Total	Residentes en el Extranjero	2025M03	11.556
Total Nacional	06 Cantabria		Viajero	Total	Residentes en el Extranjero	2025M02	7.393
Total Nacional	06 Cantabria		Viajero	Total	Residentes en el Extranjero	2025M01	7.255
Total Nacional	06 Cantabria		Pernoctaciones	Total		2025M07	479.549
Total Nacional	06 Cantabria		Pernoctaciones	Total		2025M06	324.170
Total Nacional	06 Cantabria		Pernoctaciones	Total		2025M05	266.242
Total Nacional	06 Cantabria		Pernoctaciones	Total		2025M04	228.221
Total Nacional	06 Cantabria		Pernoctaciones	Total		2025M03	137.686
Total Nacional	06 Cantabria		Pernoctaciones	Total		2025M02	91.873
Total Nacional	06 Cantabria		Pernoctaciones	Total		2025M01	83.681
Total Nacional	06 Cantabria		Pernoctaciones	Total	Residentes en España	2025M07	384.484
Total Nacional	06 Cantabria		Pernoctaciones	Total	Residentes en España	2025M06	241.382
Total Nacional	06 Cantabria		Pernoctaciones	Total	Residentes en España	2025M05	180.350
Total Nacional	06 Cantabria		Pernoctaciones	Total	Residentes en España	2025M04	177.820
Total Nacional	06 Cantabria		Pernoctaciones	Total	Residentes en España	2025M03	114.332
Total Nacional	06 Cantabria		Pernoctaciones	Total	Residentes en España	2025M02	77.543
Total Nacional	06 Cantabria		Pernoctaciones	Total	Residentes en España	2025M01	69.920
Total Nacional	06 Cantabria		Pernoctaciones	Total	Residentes en el Extranjero	2025M07	95.064
Total Nacional	06 Cantabria		Pernoctaciones	Total	Residentes en el Extranjero	2025M06	82.789
Total Nacional	06 Cantabria		Pernoctaciones	Total	Residentes en el Extranjero	2025M05	85.892
Total Nacional	06 Cantabria		Pernoctaciones	Total	Residentes en el Extranjero	2025M04	50.401
Total Nacional	06 Cantabria		Pernoctaciones	Total	Residentes en el Extranjero	2025M03	23.354
Total Nacional	06 Cantabria		Pernoctaciones	Total	Residentes en el Extranjero	2025M02	14.331
Total Nacional	06 Cantabria		Pernoctaciones	Total	Residentes en el Extranjero	2025M01	13.761
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total		2025M07	194.903
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total		2025M06	153.262
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total		2025M05	138.283
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total		2025M04	114.466
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total		2025M03	70.391
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total		2025M02	53.062
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total		2025M01	45.273
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total	Residentes en España	2025M07	151.189
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total	Residentes en España	2025M06	110.391
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total	Residentes en España	2025M05	88.829
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total	Residentes en España	2025M04	85.583
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total	Residentes en España	2025M03	58.835
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total	Residentes en España	2025M02	45.669
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total	Residentes en España	2025M01	38.018
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total	Residentes en el Extranjero	2025M07	43.714
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total	Residentes en el Extranjero	2025M06	42.871
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total	Residentes en el Extranjero	2025M05	49.454
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total	Residentes en el Extranjero	2025M04	28.883
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total	Residentes en el Extranjero	2025M03	11.556
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total	Residentes en el Extranjero	2025M02	7.393
Total Nacional	06 Cantabria	39 Cantabria	Viajero	Total	Residentes en el Extranjero	2025M01	7.255
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total		2025M07	479.549
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total		2025M06	324.170
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total		2025M05	266.242
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total		2025M04	228.221
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total		2025M03	137.686
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total		2025M02	91.873
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total		2025M01	83.681
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total	Residentes en España	2025M07	384.484
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total	Residentes en España	2025M06	241.382
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total	Residentes en España	2025M05	180.350
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total	Residentes en España	2025M04	177.820
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total	Residentes en España	2025M03	114.332
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total	Residentes en España	2025M02	77.543
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total	Residentes en España	2025M01	69.920
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	95.064
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	82.789
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	85.892
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	50.401
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	23.354
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	14.331
Total Nacional	06 Cantabria	39 Cantabria	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	13.761
Total Nacional	07 Castilla y León		Viajero	Total		2025M07	539.577
Total Nacional	07 Castilla y León		Viajero	Total		2025M06	495.714
Total Nacional	07 Castilla y León		Viajero	Total		2025M05	519.817
Total Nacional	07 Castilla y León		Viajero	Total		2025M04	463.460
Total Nacional	07 Castilla y León		Viajero	Total		2025M03	351.877
Total Nacional	07 Castilla y León		Viajero	Total		2025M02	296.294
Total Nacional	07 Castilla y León		Viajero	Total		2025M01	258.070
Total Nacional	07 Castilla y León		Viajero	Total	Residentes en España	2025M07	378.740
Total Nacional	07 Castilla y León		Viajero	Total	Residentes en España	2025M06	354.157
Total Nacional	07 Castilla y León		Viajero	Total	Residentes en España	2025M05	348.466
Total Nacional	07 Castilla y León		Viajero	Total	Residentes en España	2025M04	338.223
Total Nacional	07 Castilla y León		Viajero	Total	Residentes en España	2025M03	279.817
Total Nacional	07 Castilla y León		Viajero	Total	Residentes en España	2025M02	246.063
Total Nacional	07 Castilla y León		Viajero	Total	Residentes en España	2025M01	203.454
Total Nacional	07 Castilla y León		Viajero	Total	Residentes en el Extranjero	2025M07	160.837
